"","date","temp_avg","temp_min","temp_max","temp_observ","precip","wind","wt_fog","wt_heavy_fog","wt_thunder","wt_sleet","wt_hail","wt_glaze","wt_haze","wt_drift_snow","wt_high_wind","wt_mist","wt_drizzle","wt_rain","wt_freeze_rain","wt_snow","wt_ground_fog","wt_ice_fog","wt_freeze_drizzle","wt_unknown","casual","registered","total_cust","holiday"
"822","2013-04-01",10.4,3.21333333333333,14.58,5.61818181818182,0.844943820224718,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,5065,6368,0
"823","2013-04-02",5.66666666666667,0.0533333333333332,14.7066666666667,2.1,0.0408602150537634,4.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,5164,5902,0
"824","2013-04-03",4.93333333333333,-2.46,10.2866666666667,0.190909090909091,0.00869565217391304,4.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,5297,6226,0
"825","2013-04-04",3.4,-3.94,10.0666666666667,-0.2,0.156989247311828,2.675,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,4925,5829,0
"826","2013-04-05",8.9,-0.186666666666667,12.8866666666667,4.78181818181818,7.98846153846153,3.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,6030,7589,0
"827","2013-04-06",9.06666666666667,2.36666666666667,15.9266666666667,4.50909090909091,0.0408602150537634,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4099,5172,9271,0
"828","2013-04-07",10.9,3.22666666666667,15.8533333333333,7.07272727272727,0,4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,5334,9762,0
"829","2013-04-08",18.3,7.10666666666667,22.5266666666667,12.1818181818182,0.00315789473684211,3.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,6517,8466,0
"830","2013-04-09",22.6666666666667,11.86,27.7466666666667,18.0909090909091,0,3.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,7612,9750,0
"831","2013-04-10",24.5666666666667,15.16,30.7533333333333,20.8636363636364,0,3.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,7588,9553,0
"832","2013-04-11",23.5666666666667,13.5733333333333,30.7866666666667,17.0090909090909,0,3.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,7205,9091,0
"833","2013-04-12",15.4333333333333,10.6133333333333,26.1466666666667,11.8727272727273,7.36521739130435,3.85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,4824,5997,0
